,category,sub_category,sub_sub_category,title,description,gender
110,sports & outdoors,team shop,team home & pet,Calgary Flames 12'' x 26'' Team Pride Wall Decor,"You're a Flames fan on and off the ice! Show off a little love for your team with this 12'' x 26'' Team Pride wall dcor. This piece features Calgary Flames lettering that shows the rink and stands on a black background. Show everyone that your focus is on more than the Flames on the ice, it's on the love surrounding the team!",None
111,sports & outdoors,team shop,team clothing,LSU Tigers Women's Football Glitter Half Sleeve V-Neck T-Shirt - Burnt Orange,"Your Tigers fanaticism always mixes well with your great style! Show how you can balance both at the next game with this cute Football tee, which features printed team graphics with glitter accents. You'll love wearing this comfy V-neck as you cheer on LSU to another win!",None
113,shoes,boots,None,Vince Andes Suede Boots,Comfy boots in pebbled suede with convenient pull tab  Italian calf leather upper   Side zip closure  Leather lining and sole  Padded insole  Made in Italy,mens
115,,None,None,Men's Kevin Harvick Antigua Red/White Century Color Blocked Polo,Celebrate a great season for your favorite driver in this Kevin Harvick Antigua Century Color Blocked polo! The dashing graphics on this shirt are sure to make you happy all year long.,unisex
116,accessories,handbags,satchels,Anne Klein Hidden Treasure Satchel,Hidden treasure satchel.,None
117,,None,None,Travel Smart by Conair Convert-It-All Converter and Worldwide Adapter Set,The first converter that works with high-end styling tools.,unisex
118,clothing,outerwear,None,Bonded Parka with Removable Hood,"The Red Fleece Collection  Our hooded parka is made from 100% cotton in a bonded fabric and has an orange interior and underarm grommets for ventilation. The front has two snap closure pockets on the chest, two side-entry pockets, and two lower flap pockets with exposed snaps. The removable hood has secure snap closures.  Imported.",mens
119,sports & outdoors,team shop,team accessories,Utah State Aggies Women's Glitter Rectangle Barrette,"Don't fret over a bad hair day when you're getting ready for a Utah State game. Just pull your hair back with this glitter rectangle barrette and add a pop of Aggies style! With team colors and a Utah State graphic, this hair accessory is perfect for letting everyone know who you root for. Cute, stylish and full of team spirit are the only words needed to describe this barrette!",unisex
120,sports & outdoors,team shop,team shoes,Colorado Avalanche Flannel Slide Slippers,"Day in and day out, you love to show off that die-hard Colorado Avalanche fandom, but what about when you get home? Celebrate your enthusiasm all while you kick back and relax by putting on these Colorado Avalanche Flannel slide slippers. Once you slide these on, you'll immediately feel how soft they are. The quality embroidered Colorado Avalanche graphics will greet you each and every time showing those around you how deep your loyalty goes.",None
121,sports & outdoors,adventure sports,winter sports,Korkers Extreme Ice Cleat,"FEATURES of the Korkers Extreme Ice Cleat   A quick-release buckle and strap system make them easy to take on and off  Molded rubber walls at toe, heel and side providing a secure fit  28 case hardened ice biting studs under toe, heel, and ball of foot  24 additional stud receptacles available for custom spike placement",None
122,clothing,denim,None,Lafayette 148 New York Thompson Curvy Herringbone Slim-Leg Jeans,"""Lafayette 148 New York """"Thompson"""" stretch-denim jeans in herringbone print. Available in multiple colors. Approx. measurements: 7"""" front rise; 31"""" inseam; 14"""" leg opening. Four-pocket style. Regular rise. Slim, straight legs. Button/zip fly; belt loops. Cotton/polyester/spandex. Machine wash. Imported.""",womens
123,sports & outdoors,team shop,team clothing,Men's San Diego Chargers Pro Line by Fanatics Branded Ash Throwback Logo Tri-Blend Long Sleeve T-Shirt,"Show your San Diego Chargers pride every time you wear this Pro Line by Fanatics Branded Throwback Logo T-shirt. Featuring San Diego Chargers graphics, this tee will keep you comfortable and full of team spirit.",unisex
125,clothing,denim,None,"FRAME Released Stagger-Hem Skinny Jeans, Merrick","Exclusively ours. FRAME jeans in Merrick wash with light whiskering, fading, and distressing. Five-pocket style; clean back pockets. High rise. Fitted through skinny legs. Released, staggered hem with raw edges. Button/zip fly; belt loops. Cotton/polyester/spandex. Made in USA of imported material.",womens
126,sports & outdoors,team shop,team clothing,,"Celebrate your Florida State Seminoles fandom with this Classic Arch Logo hoodie! Nothing says you're a true fan quite like having team gear to prove it. Do it big and represent your Florida State Seminoles in style with this classic-style hoodie, built for moderately cold temperatures. It's the perfect thing to wear and comfortably show off your team pride, with quality twill Florida State Seminoles graphics and a front pouch pocket! Shop for your favorite NCAA gear at Fanatics.com",unisex
127,sports & outdoors,team shop,team clothing,Nike Chicago Bears Women's S Series Full Zip Hoodie - Navy Blue,"Being a Chicago Bears fan isn't for the faint of heart, especially when the temps drop and your favorite team has a home game on Sunday! Keep the cold weather and Chicago rivals away when you walk into the stadium sporting this S Series hoodie from Nike. Featuring the team name embroidered around the establishment year on the left chest, this cozy hoodie will keep the team spirit flowing as your Bears head towards another victory!",unisex
128,sports & outdoors,team shop,team clothing,Chicago Bulls Red Big & Tall Pullover Sweatshirt,"Nothing is better than having the perfect go-to sweatshirt in your collection. Once you throw on this Chicago Bulls sweatshirt you'll know that it's the one! It features comfortable fabric and head-turning, authentic Chicago Bulls graphics.",None
129,clothing,outerwear,blazers,Calvin Klein Men's Charcoal X-Fit Suit Separates Jacket,,mens
130,kids & baby,boys clothing,boys sweaters,,,boys
131,clothing,shorts,None,Ruff Hewn Release Hem Shorts,,womens
132,clothing,pants,dress pants,Lauren Ralph Lauren Men's Medium Gray Suit Separates Pants,,mens
133,sports & outdoors,team shop,team clothing,Nike Chicago Bears Women's White Performance Tank Top,Make a splash in Chicago Bears style by wearing this cool Nike tank top. It features bold Chicago Bears graphics on the front that will let everyone know who you support on game day and Nike's Dri-FIT technology that wicks away moisture keeping you dry and comfortable. It also has a curved hem and a racerback design that will have you looking your best wherever you go.,unisex
136,shoes,boots,rain boots,,,womens
137,kids & baby,girls clothing,None,Amy Byer Girls' 7-16 Illusion Neckline Lace Fit And Flare Dress With Necklace,,girls
138,sports & outdoors,team shop,team clothing,Boston Red Sox Majestic Cool Base Ivory Fashion Team Jersey - Cream,"When you go to Boston Red Sox games, you like to be outfitted in the best game day wear. Arrive in this Cool Base Ivory Fashion Team Jersey from Majestic and you'll be ready to cheer your favorite team on to victory! It features Boston Red Sox graphics to help cement your status as #1 fan. Its Cool Base technology is made with interlocking, moisture-wicking fabric for a lightweight breathable feel while you root for the Boston Red Sox.",None
139,sports & outdoors,team shop,team clothing,Utah Utes Fanatics Branded Left Chest Distressed Logo Tri-Blend T-Shirt - Black,"Sure you can go around and tell everyone how dedicated you are to the Utah Utes, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Utah Utes fan with this Fanatics Branded Primary Logo T-shirt! This tee boasts your team pride with Utah Utes graphics. There are many ways to show your spirit, but this way you won't lose your voice.",unisex
140,clothing,activewear,active pants,Women's UA Favorite Fleece Pant,"""Ultra-soft, mid-weight cotton-blend fleece with brushed interior for extra warmth.  Signature Moisture Transport System wicks sweat so it dries faster than ordinary cotton.  Lightweight stretch construction improves mobility for full range of motion.  Stretchy, ribbed waistband with external drawcord.  Cinched covered elastic hem can be worn long or scrunched up to a capri.  30"""" inseam.""",womens
141,,None,None,,,unisex
142,clothing,tops,dress shirts,Calvin Klein Men's Slim Fit Tan Plaid Long Sleeve Dress Shirt,Look polished in plaid in this slim fit dress shirt from Calvin Klein.    Featured in tan     Spread collar     Long sleeves with double buttoned cuffs     Full front button placket     Allover plaid pattern     Slim fit     Machine washable     Cotton / nylon / spandex     Imported,mens
143,,None,None,,"""Fantasia Slingback Sandals by Easy Street are the crowning touch of your perfectly accessorized fashions. Soft leather-look uppers complements anything from dresses to tailored trousers, while the padded insoles ensure all-day or evening comfort. With an adjustable ankle strap for a secure fit, these women's sandals are practical as well as elegant.    Featured in turquoise    1"""" heel    Adjustable ankle strap    Padded insoles     TPR unit bottom    Manmade uppers    Imported""",None
144,sports & outdoors,team shop,team clothing,Antigua Los Angeles Lakers Youth Frost Microfleece Quarter Zip Jacket - Gray,"Don't let the cold temps keep your little one from joining the Lakers' victory celebration. Keep your child warm and full of team spirit by letting him wear this stylish Frost quarter zip jacket from Antigua. Featuring a bold Lakers logo embroidered on the left chest, two side pockets and an Olympic collar, this microfleece pullover is sure to keep your youngster warm while showing off his Los Angeles pride! This jacket is so awesome that your little Laker will be looking forward to the cold season, just so he can have an excuse to wear it.",None
